,artist_name,track_name,track_id,popularity,num_artists,release_month,release_weekday,artist_followers,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_len,artist_len
1812,Tyler Childers,House Fire,1RJyToUKkGSEfJjavJHSsF,63,1,8,5,285177,74,0.519,0.707,5,-8.424,1,0.0272,0.241,0.102,0.267,0.545,93.348,232973,4,10,14
1813,Upchurch,Holler Boys,1XsTcnVnJqjjXXLBRqXWmD,63,1,9,2,494013,74,0.674,0.425,1,-7.725,1,0.031,0.191,0.0,0.169,0.11,119.954,211499,4,11,8
1814,bbno$,slop,5X5w66oR8QlDrHDTWrEZeh,69,1,10,5,335688,85,0.718,0.406,0,-10.511,1,0.318,0.292,0.0,0.091,0.221,174.032,165517,4,4,5
1815,Fleetwood Mac,World in Harmony (Live) [Remastered],7afQS6uD42Jp28VmgEadb8,36,1,11,5,3887175,83,0.481,0.511,7,-10.753,1,0.0396,0.56,0.787,0.706,0.185,91.41,220441,4,36,13
1816,blink-182,Darkside,39n1y2JqVOPIdfUeLqzgfl,70,1,9,5,5473396,83,0.497,0.923,4,-3.04,1,0.11,0.00627,0.0,0.082,0.545,155.11,180960,4,8,9
1817,Alida Sørby,Kjæreste,5b8dvbC8nIGMmagzqXbaTD,70,1,6,6,299,60,0.46,0.018,1,-26.104,1,0.0581,0.996,0.965,0.119,0.344,76.448,143812,3,8,11
1818,Fleetwood Mac,Something Inside of Me (Live) [Remastered],7kwvMH3rkNmptCsQMIyepS,37,1,11,5,3887175,83,0.551,0.501,4,-5.767,1,0.0459,0.41,0.000874,0.815,0.483,155.055,344862,3,42,13
1819,Arizona Zervas,LM$,2BRQDKhG1axUBEeXKxO1mm,66,1,5,4,107804,85,0.765,0.635,8,-4.501,0,0.127,0.395,0.0,0.155,0.416,129.934,166267,4,3,14
1820,Fleetwood Mac,Worried Dream (Live) [Remastered],609zyrS2WWAb1xubeaLu4T,35,1,11,5,3887175,83,0.527,0.183,7,-12.575,0,0.0415,0.421,0.00371,0.963,0.396,136.578,590205,3,33,13
1821,Fleetwood Mac,The Woman That I Love (Live) [Remastered],6RaIYWyLXWdzS4zGCIp6fV,35,1,11,5,3887175,83,0.779,0.696,0,-6.805,1,0.0484,0.272,0.116,0.67,0.904,122.645,291948,4,41,13
1822,Ever So Blue,At Dawn,6sSFbKl9oQ7ToYxBeTQZvw,70,1,7,5,842,66,0.622,0.0251,2,-24.907,1,0.056,0.996,0.945,0.0902,0.363,116.364,136000,3,7,12
1823,Ali Gatie,Moonlight,6L4F4btXioJPhEwz6T7YYt,68,1,11,5,355111,82,0.804,0.479,11,-6.661,1,0.0321,0.494,0.0,0.0994,0.462,120.0,228484,4,9,9
1824,Fleetwood Mac,Got to Move (Live) [Remastered],5fTXYZRoS5bvuMLckFYBHB,33,1,11,5,3887175,83,0.722,0.351,6,-11.611,1,0.0708,0.85,0.0995,0.949,0.621,119.854,172114,4,31,13
1825,Evan Michael Brown,Above The Clouds,1qjktDcnb02OCdkbHMxXEp,68,1,4,5,299,59,0.185,0.161,0,-15.935,1,0.0357,0.94,0.901,0.0913,0.0666,110.063,190000,4,16,18
1826,Fleetwood Mac,Lazy Poker Blues (Live) [Remastered],4wthr2NaTb0WxAn1viBctt,32,1,11,5,3887175,83,0.546,0.824,2,-6.9,1,0.0356,0.369,0.0492,0.837,0.891,143.844,267924,4,36,13
1827,Fleetwood Mac,Dust My Blues (Live) [Remastered],52ZfdAnIu8ladQayEbAY92,33,1,11,5,3887175,83,0.636,0.692,4,-7.865,1,0.0337,0.593,0.595,0.7,0.729,109.018,271761,4,33,13
1828,Tejal Yann,Divine,49WYvbLAlLn9e663fBmCUl,69,1,4,2,1058,68,0.176,0.134,10,-23.973,1,0.0405,0.959,0.977,0.0995,0.0546,86.705,289804,4,6,10
1829,P!nk,Love Me Anyway (feat. Chris Stapleton),0pwdJLLVxlJa1lnR9UeMZY,67,2,4,5,7428641,85,0.368,0.321,3,-5.904,1,0.0272,0.769,0.0,0.135,0.0673,139.001,188120,4,38,4
1830,Fleetwood Mac,Trying So Hard to Forget (Live) [Remastered],2v6EwkD0aowRWwIW3nbNEp,32,1,11,5,3887175,83,0.507,0.125,9,-13.612,0,0.0478,0.899,0.00164,0.74,0.426,90.942,270432,4,44,13
1831,Fleetwood Mac,Shake Your Money Maker (Live) [Remastered],2mfhygiEDr8zKKTDW8mxcI,31,1,11,5,3887175,83,0.382,0.571,4,-9.478,1,0.0597,0.566,0.318,0.69,0.725,99.516,524878,4,42,13
1832,Fleetwood Mac,Have You Ever Loved a Woman (Live) [Remastered],4n2Tg72baVuFKcs7w8Qz4I,31,1,11,5,3887175,83,0.536,0.226,7,-10.216,0,0.0348,0.409,0.00277,0.638,0.485,147.892,470937,3,47,13
1833,Fleetwood Mac,Rattlesnake Shake (Live) [Remastered],5v779QwHjBQl14y3EjFulU,31,1,11,5,3887175,83,0.326,0.898,2,-5.658,1,0.0752,0.717,0.877,0.227,0.356,109.044,785320,4,37,13
