,popularity,num_artists,release_month,release_weekday,artist_followers,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_len,artist_len,duration
5299,1,2,3,4,3658344,81,0.5820000000000001,0.659,8,-7.511,1,0.114,0.5429999999999999,0.0,0.0656,0.583,155.957,4,19,14,239.972
5300,0,3,11,5,58386,76,0.36200000000000004,0.9690000000000001,1,-22.511,1,0.0565,0.225,0.972,0.521,0.0265,79.376,4,20,11,186.0
5301,0,2,8,5,1271037,80,0.778,0.851,2,-2.6830000000000003,1,0.201,0.000735,0.0,0.376,0.222,153.036,4,26,8,165.01500000000001
5302,1,1,8,7,68,58,0.389,0.0404,4,-26.546,1,0.0503,0.995,0.9540000000000001,0.106,0.21100000000000002,72.857,4,15,13,228.375
5303,1,1,5,6,2065,64,0.33399999999999996,0.0471,10,-23.17,0,0.0496,0.9940000000000001,0.966,0.107,0.313,136.455,4,6,14,98.75
5304,0,1,10,1,313494,71,0.5,0.672,1,-4.755,1,0.031,0.207,0.0,0.11800000000000001,0.187,75.067,4,14,13,206.42600000000002
5305,1,2,4,5,9388420,86,0.903,0.6559999999999999,0,-3.9530000000000003,0,0.0528,0.294,2.26e-06,0.10800000000000001,0.868,122.057,4,11,12,282.853
5306,0,3,6,5,545490,70,0.7,0.48700000000000004,11,-5.437,0,0.0486,0.20800000000000002,0.0,0.11,0.363,143.964,4,32,18,215.02
5307,1,2,5,5,17653565,91,0.7979999999999999,0.6409999999999999,7,-3.1310000000000002,0,0.187,0.129,0.0,0.0838,0.7659999999999999,92.96600000000001,4,36,6,191.30700000000002
5308,1,2,3,6,2064,56,0.634,0.424,2,-14.347000000000001,1,0.265,0.9420000000000001,0.727,0.133,0.131,133.52,4,5,10,168.589
5309,1,2,10,5,6716709,87,0.785,0.684,0,-4.184,1,0.298,0.0788,0.000125,0.11800000000000001,0.7929999999999999,167.984,4,7,7,211.107
5310,1,1,1,5,2683785,80,0.615,0.858,0,-3.3,1,0.0396,0.0039299999999999995,0.0,0.0789,0.32299999999999995,97.038,4,8,20,227.26500000000001
5311,0,1,5,2,217077,74,0.534,0.489,8,-8.725,0,0.24100000000000002,0.302,0.0,0.11199999999999999,0.41600000000000004,147.94299999999998,4,13,10,236.679
5312,0,1,11,5,400317,73,0.467,0.789,11,-8.291,0,0.5710000000000001,0.306,0.0,0.271,0.515,77.0,1,18,9,213.373
5313,1,1,6,5,127390,65,0.725,0.44799999999999995,1,-5.898,1,0.0393,0.00868,0.00526,0.0574,0.484,92.94,4,7,10,215.24
5314,1,1,10,5,438902,81,0.37799999999999995,0.723,9,-6.961,0,0.066,0.0514,1.87e-05,0.0999,0.42,119.809,4,14,14,271.357
5315,0,1,9,3,1150132,72,0.5870000000000001,0.821,9,-5.041,0,0.0413,0.0536,0.0,0.0932,0.616,81.985,4,19,19,234.567
5316,1,1,1,5,438902,81,0.474,0.217,10,-13.270999999999999,1,0.0891,0.893,5.4600000000000006e-05,0.10400000000000001,0.237,102.274,4,27,14,285.645
5317,0,1,7,5,26818,68,0.6759999999999999,0.536,2,-8.79,1,0.0432,0.40299999999999997,3.37e-05,0.105,0.373,79.03699999999999,4,6,9,172.672
