,popularity,num_artists,release_month,release_weekday,artist_followers,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_len,artist_len,duration
7402,1,4,11,5,2942677,1,0.414,0.185,2,-19.699,1,0.0663,0.971,1.91e-06,0.0791,0.12300000000000001,132.911,4,49,20,0.8508833333333334
7403,1,3,11,5,2942677,1,0.21100000000000002,0.451,5,-12.389000000000001,1,0.0387,0.898,0.447,0.6890000000000001,0.29600000000000004,118.384,4,75,20,1.44045
7404,1,3,11,5,2942677,1,0.903,0.16899999999999998,7,-21.866,1,0.071,0.976,0.00788,0.0847,0.285,113.92200000000001,4,42,20,0.5817666666666667
7405,1,3,11,5,2942677,1,0.17600000000000002,0.0318,2,-28.559,1,0.0362,0.95,0.763,0.0975,0.0543,79.921,1,66,20,3.29155
7406,1,3,11,5,2942677,1,0.366,0.0153,2,-21.674,0,0.0476,0.99,2.82e-06,0.107,0.105,118.09,1,51,20,1.068
7407,1,2,11,5,2942677,1,0.11,0.0447,0,-23.448,1,0.0448,0.941,0.637,0.11800000000000001,0.0376,82.32600000000001,3,82,20,19.67845
7408,1,3,11,5,2942677,1,0.6890000000000001,0.17600000000000002,4,-16.764,1,0.0624,0.988,0.8640000000000001,0.172,0.759,115.006,4,41,20,0.5762
7409,1,3,11,5,2942677,1,0.305,0.11199999999999999,3,-24.5,1,0.0554,0.9440000000000001,0.591,0.608,0.564,91.35,3,46,20,0.6915333333333333
7410,1,2,11,5,2942677,1,0.377,0.0543,5,-22.206,1,0.0483,0.9490000000000001,0.209,0.11900000000000001,0.26,131.349,4,56,20,6.706216666666666
7411,1,3,11,5,2942677,1,0.11699999999999999,0.371,2,-15.164000000000001,1,0.0467,0.897,0.43,0.0796,0.0812,68.6,4,68,20,8.295783333333333
7412,1,3,11,5,2942677,1,0.40299999999999997,0.0457,5,-19.153,1,0.0427,0.99,0.94,0.415,0.53,147.655,3,41,20,1.6617666666666666
7413,1,3,11,5,2942677,1,0.359,0.0883,9,-18.105,1,0.0407,0.977,0.532,0.1,0.626,180.42,3,41,20,1.3588666666666667
7414,1,3,11,5,2942677,1,0.736,0.063,2,-19.355,1,0.0611,0.985,0.40299999999999997,0.115,0.807,118.7,3,62,20,1.24265
7415,1,3,11,5,2942677,1,0.602,0.21899999999999997,2,-14.425,1,0.0545,0.8290000000000001,0.8959999999999999,0.10800000000000001,0.218,127.447,3,35,20,2.0488666666666666
7416,1,2,11,5,2942677,1,0.28,0.0339,1,-24.279,1,0.0551,0.9940000000000001,0.91,0.106,0.0753,80.243,4,59,20,7.303116666666667
7417,1,3,11,5,2942677,1,0.387,0.0605,3,-17.929000000000002,1,0.0357,0.9740000000000001,0.395,0.17,0.299,99.20100000000001,3,67,20,2.4644333333333335
7418,1,3,11,5,2942677,1,0.33799999999999997,0.109,9,-20.912,1,0.0379,0.978,0.0276,0.18100000000000002,0.622,172.245,3,41,20,1.45665
7419,1,3,11,5,2942677,1,0.517,0.132,5,-17.329,1,0.0346,0.924,0.736,0.36,0.439,83.285,3,41,20,1.4904333333333333
7420,1,3,11,5,2942677,1,0.268,0.525,7,-11.607000000000001,1,0.0559,0.86,0.973,0.73,0.297,124.225,4,63,20,1.35645
7421,1,3,11,5,2942677,1,0.354,0.109,10,-20.894000000000002,1,0.0344,0.986,0.802,0.5539999999999999,0.213,109.738,3,67,20,2.2171000000000003
7422,1,3,11,5,2942677,1,0.44,0.0389,3,-17.866,1,0.0315,0.9540000000000001,0.203,0.168,0.265,105.245,3,67,20,2.3473166666666665
7423,1,4,11,5,2942677,1,0.23800000000000002,0.0522,5,-26.541999999999998,1,0.0418,0.935,0.29,0.24,0.151,94.073,4,37,20,7.954666666666667
7424,1,3,11,5,2942677,1,0.754,0.0209,2,-18.986,1,0.0529,0.9620000000000001,0.0844,0.102,0.449,116.85,4,62,20,1.3855333333333335
7425,1,3,11,5,2942677,1,0.597,0.0326,7,-20.635,1,0.038,0.988,0.498,0.12,0.5529999999999999,101.96,3,62,20,2.3939833333333334
7426,1,3,11,5,2942677,1,0.41600000000000004,0.33399999999999996,8,-13.222999999999999,1,0.036000000000000004,0.8759999999999999,0.884,0.0454,0.132,104.696,4,49,20,3.4555333333333333
7427,1,2,11,5,2942677,1,0.16399999999999998,0.193,7,-21.513,0,0.0368,0.99,0.915,0.0969,0.145,77.598,4,67,20,6.744883333333333
